Regional,Nivel,Programa,Total,Estrato,Ano,Periodo
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,7,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,5,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,3,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,2,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,9,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,6,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL A DISTANCIA,1,5,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,4,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,33,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,10,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,24,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,6,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,5,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,2,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,3,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,14,1,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,4,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,16,2,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,12,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,10,3,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,ADMINISTRACION DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO A DISTANCIA,1,N,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,1,0,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,13,1,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,10,2,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,42,2,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,11,3,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,20,3,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,8,4,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,1,N,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,3,1,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,5,1,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,6,2,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,14,2,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,6,3,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,13,3,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,2,4,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,CONTADURIA PUBLICA A DISTANCIA,1,6,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,1,0,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,43,1,2022,2
